id,user_id,title,url,message,created_at,updated_at
1,1,Jamie Culum 「Mind Trick」,https://www.youtube.com/watch?v=7EdcRHpoU2s,'天気の良い休日にぴったり、掃除中はいつもこれ流してます！','2019-08-30 00:04:36','2019-09-15 15:08:14'
2,1,WORLD FAMOUS「Sunlight Player」,https://www.youtube.com/watch?v=gbx55BK-6_4,'よくBGMで流しっぱなしにしてます','2019-08-30 00:05:21','2019-09-15 14:58:18'
4,1,宇多田ヒカル「Time will tell」,https://www.youtube.com/watch?v=gbx55BK-6_4,'シングルでも珠玉の１曲です！','2019-08-30 00:05:41','2019-09-15 14:59:31'
6,2,Suchmos「MINT」,https://www.youtube.com/watch?v=gbx55BK-6_4,'夏フェス予習用','2019-08-30 00:06:38','2019-09-15 15:10:06'
7,2,水曜日のカンパネラ 「Medusa」,https://www.youtube.com/watch?v=V5fO-WXd9W8,'MVもよかったら見てみて下さい！','2019-08-30 00:06:38','2019-09-15 15:34:19'
8,2,MIKA 「Stuck In The Middle」,https://www.youtube.com/watch?v=gbx55BK-6_4,'2016のライブ行けなかった、、、次こそは！','2019-08-30 00:06:38','2019-09-15 15:08:29'
9,3,Television 「Marquee Moon」,https://www.youtube.com/watch?v=gbx55BK-6_4,'ボーカルが独特だけどクセになります','2019-08-30 00:08:24','2019-09-15 15:00:53'
116,4,Beatles「Blackbird」,https://www.youtube.com/watch?v=gbx55BK-6_4,'通勤中ホワイトアルバム リピートしてます！','2019-09-08 17:57:30','2019-09-15 15:18:30'
119,5,cero 「Summer Soul」,https://www.youtube.com/watch?v=gbx55BK-6_4,'テストメッセージ','2019-09-11 00:45:49','2019-09-15 15:18:33'
123,6,Yesterdays New Quitet 「I am Singing」,https://www.youtube.com/watch?v=gbx55BK-6_4,'寝る前に聴きたい癒やし系ミュージック','2019-09-15 14:56:17','2019-09-15 15:18:34'
124,1,YUKI 「坂道のメロディ」,https://www.youtube.com/watch?v=gbx55BK-6_4,'ドライブ中に良く聴いてます！','2019-09-15 15:21:52','2019-09-15 15:21:52'
125,1,Rage Against the Machine 「Bomb track」,https://www.youtube.com/watch?v=gbx55BK-6_4,'目覚め最悪ですが絶対起きられます！','2019-09-15 15:28:13','2019-09-15 15:40:32'
